,address,city,soldDate,soldPrice,sqft,zipCode,borough,PricePerSQFT
444,24 Kyle Ct,Staten Island,15-Jun-18,437000.0,1392,10312,Staten Island,313.9367816091954
445,209 Dover Grn,Staten Island,15-Jun-18,508000.0,1516,10312,Staten Island,335.0923482849604
446,42 Marne Ave,Staten Island,15-Jun-18,720000.0,1912,10312,Staten Island,376.5690376569038
447,66 Sheraden Ave,Staten Island,15-Jun-18,525000.0,1050,10314,Staten Island,500.0
448,60 Kenmore St,Staten Island,15-Jun-18,600000.0,1536,10312,Staten Island,390.625
449,1306 Rockland Ave #1A,Staten Island,15-Jun-18,261820.0,791,10314,Staten Island,330.99873577749685
450,1604 Woodrow Rd,Staten Island,15-Jun-18,595000.0,2070,10309,Staten Island,287.43961352657004
451,729 Correll Ave,Staten Island,15-Jun-18,425000.0,1900,10309,Staten Island,223.68421052631578
452,27 Piave Ave,Staten Island,15-Jun-18,625000.0,1600,10305,Staten Island,390.625
453,234 Hart Ave,Staten Island,15-Jun-18,610000.0,1034,10310,Staten Island,589.9419729206963
454,168 Roosevelt Ave,Staten Island,15-Jun-18,480000.0,1420,10314,Staten Island,338.0281690140845
455,36 McVeigh Ave,Staten Island,15-Jun-18,670000.0,2280,10314,Staten Island,293.859649122807
457,23 Armour Pl,Staten Island,20-Jun-18,550000.0,1300,10309,Staten Island,423.0769230769231
458,226 Balsam Pl,Staten Island,20-Jun-18,422000.0,1880,10309,Staten Island,224.46808510638297
459,88 Radcliff Rd,Staten Island,19-Jun-18,1031500.0,2117,10305,Staten Island,487.2461029759093
460,211 Westcott Blvd,Staten Island,19-Jun-18,750000.0,1610,10314,Staten Island,465.83850931677017
461,22 Trantor Pl,Staten Island,19-Jun-18,365000.0,1208,10302,Staten Island,302.1523178807947
462,2897 Amboy Rd,Staten Island,19-Jun-18,520000.0,1592,10306,Staten Island,326.63316582914575
463,78 Glenwood Ave,Staten Island,19-Jun-18,465000.0,975,10301,Staten Island,476.9230769230769
464,320 Hampton Grn,Staten Island,19-Jun-18,442000.0,1562,10312,Staten Island,282.9705505761844
465,24 Bar Ct,Staten Island,19-Jun-18,385000.0,2025,10309,Staten Island,190.12345679012347
466,131 Jamie Ln,Staten Island,19-Jun-18,395000.0,1354,10312,Staten Island,291.7282127031019
467,293 Beach Rd,Staten Island,19-Jun-18,465000.0,950,10312,Staten Island,489.4736842105263
468,95 Emerson Ave,Staten Island,19-Jun-18,1950000.0,4961,10301,Staten Island,393.0659141302157
469,175 Zoe St #5A,Staten Island,19-Jun-18,249800.0,555,10305,Staten Island,450.0900900900901
470,394 Henderson Ave,Staten Island,19-Jun-18,1217000.0,4462,10310,Staten Island,272.74764679515914
471,85 Circle Rd,Staten Island,19-Jun-18,975000.0,3800,10304,Staten Island,256.57894736842104
472,624 Annadale Rd,Staten Island,19-Jun-18,540000.0,1120,10312,Staten Island,482.14285714285717
473,94 Simonson Ave,Staten Island,19-Jun-18,310000.0,1664,10303,Staten Island,186.29807692307693
474,349 Dongan Hills Ave,Staten Island,19-Jun-18,660000.0,1260,10305,Staten Island,523.8095238095239
475,26 Grasmere Ct,Staten Island,18-Jun-18,597500.0,1320,10305,Staten Island,452.6515151515151
476,173 Lorraine Loop,Staten Island,18-Jun-18,460000.0,1050,10309,Staten Island,438.0952380952381
477,11 Gadsen Pl #1H,Staten Island,18-Jun-18,261820.0,791,10314,Staten Island,330.99873577749685
478,171 Greencroft Ave,Staten Island,18-Jun-18,649000.0,1884,10308,Staten Island,344.47983014861995
479,19 Egbert Pl,Staten Island,18-Jun-18,585000.0,1207,10305,Staten Island,484.6727423363712
480,20 Poplar Ln,Staten Island,18-Jun-18,640000.0,2700,10309,Staten Island,237.03703703703704
481,197 Giffords Ln,Staten Island,18-Jun-18,544000.0,840,10308,Staten Island,647.6190476190476
482,51 Perona Ln,Staten Island,18-Jun-18,340000.0,2290,10308,Staten Island,148.47161572052403
483,100 Darnell Ln,Staten Island,18-Jun-18,548500.0,1300,10309,Staten Island,421.9230769230769
484,58 Myrna Ln,Staten Island,18-Jun-18,585000.0,1728,10312,Staten Island,338.5416666666667
485,145 Greencroft Ave,Staten Island,22-Jun-18,575000.0,1176,10308,Staten Island,488.94557823129253
486,675 Annadale Rd,Staten Island,25-Jun-18,471000.0,1800,10312,Staten Island,261.6666666666667
487,268 Bruckner Ave #A,Staten Island,25-Jun-18,315000.0,985,10303,Staten Island,319.79695431472084
488,150 Joseph Ave,Staten Island,26-Jun-18,735000.0,2095,10314,Staten Island,350.83532219570407
489,20 Averill Pl,Staten Island,26-Jun-18,575000.0,4004,10307,Staten Island,143.6063936063936
490,25 Maxi Ct,Staten Island,26-Jun-18,465000.0,2010,10304,Staten Island,231.34328358208955
491,31 Gadsen Pl #2G,Staten Island,26-Jun-18,249900.0,640,10314,Staten Island,390.46875
492,420 Stobe Ave,Staten Island,26-Jun-18,700000.0,2444,10306,Staten Island,286.41571194762685
