address,city,soldDate,soldPrice,sqft,zipCode
604 Hunter Ave,Staten Island,31-Aug-18,"$465,000 ","1,470 sqft",10306
,,,,,
281 Glen Ave,Staten Island,31-Aug-18,"$520,000 ","2,917 sqft",10301
,,,,,
25 Dierauf St,Staten Island,31-Aug-18,"$625,000 ","1,694 sqft",10312
,,,,,
118 Goodall St,Staten Island,31-Aug-18,"$400,000 ","1,300 sqft",10308
,,,,,
86 Emerson Ct,Staten Island,31-Aug-18,"$590,000 ","1,794 sqft",10304
,,,,,
57 Montvale Pl,Staten Island,31-Aug-18,"$635,000 ","1,736 sqft",10308
,,,,,
221 Mallory Ave,Staten Island,31-Aug-18,"$600,000 ","1,008 sqft",10305
,,,,,
309 Abingdon Ave,Staten Island,31-Aug-18,"$540,000 ","1,604 sqft",10308
,,,,,
236 Shotwell Ave,Staten Island,31-Aug-18,"$692,000 ","1,632 sqft",10312
,,,,,
102 Smith Pl,Staten Island,31-Aug-18,"$520,000 ","1,340 sqft",10302
,,,,,
450 Van Name Ave,Staten Island,31-Aug-18,"$500,000 ","1,440 sqft",10303
,,,,,
975 Goethals Rd N #B,Staten Island,31-Aug-18,"$365,000 ","1,384 sqft",10303
,,,,,
32 Ada Dr,Staten Island,31-Aug-18,"$270,000 ",972 sqft,10314
,,,,,
86 Ebbitts St,Staten Island,31-Aug-18,"$560,000 ","1,280 sqft",10306
,,,,,
35 Cranford Ct,Staten Island,31-Aug-18,"$318,000 ","1,050 sqft",10306
,,,,,
422 Neckar Ave,Staten Island,31-Aug-18,"$385,000 ",800 sqft,10304
,,,,,
141 Harvard Ave,Staten Island,30-Aug-18,"$544,000 ","1,592 sqft",10301
,,,,,
39 Bower Ct,Staten Island,30-Aug-18,"$315,000 ","1,782 sqft",10309
,,,,,
80 Bay Street Lndg #7B,Staten Island,30-Aug-18,"$409,500 ",900 sqft,10301
,,,,,
40 Cranberry Ct,Staten Island,30-Aug-18,"$344,400 ","1,350 sqft",10309
,,,,,
8 Doreen Dr,Staten Island,30-Aug-18,"$417,500 ",953 sqft,10303
,,,,,
49 Paris Ct,Staten Island,30-Aug-18,"$380,000 ","1,260 sqft",10310
,,,,,
36 Carolyn Ct,Staten Island,30-Aug-18,"$1,185,000 ","3,400 sqft",10309
,,,,,
72 Fingerboard Rd,Staten Island,30-Aug-18,Contact For Estimate,"1,470 sqft",10305
,,,,,
73 New St,Staten Island,30-Aug-18,"$491,500 ","1,248 sqft",10302
,,,,,
474 Sleight Ave,Staten Island,30-Aug-18,"$524,000 ","1,064 sqft",10307
,,,,,
6 New Ln #8C,Staten Island,30-Aug-18,"$300,000 ",838 sqft,10305
,,,,,
82 Brabant St,Staten Island,30-Aug-18,"$263,333 ","1,656 sqft",10303
,,,,,
19 Gillard Ave,Staten Island,5-Sep-18,"$765,000 ","1,688 sqft",10312
,,,,,
1026 Rockland Ave,Staten Island,5-Sep-18,"$330,000 ","2,000 sqft",10314
,,,,,
2 Elmwood Park Dr #125,Staten Island,5-Sep-18,"$285,000 ",826 sqft,10314
,,,,,
511 Tarrytown Ave,Staten Island,5-Sep-18,"$530,000 ","1,360 sqft",10306
,,,,,
7 Laurel Ave,Staten Island,5-Sep-18,"$320,000 ","1,024 sqft",10304
,,,,,
1290 Arthur Kill Rd,Staten Island,5-Sep-18,"$365,000 ","1,354 sqft",10312
,,,,,
264 Brehaut Ave,Staten Island,5-Sep-18,"$745,000 ",884 sqft,10307
,,,,,
47 Jerome Rd,Staten Island,5-Sep-18,"$900,000 ","3,080 sqft",10305
,,,,,
577 Arden Ave,Staten Island,5-Sep-18,"$990,000 ","2,721 sqft",10312
,,,,,
65 Navigator Ct,Staten Island,5-Sep-18,"$470,000 ",980 sqft,10309
,,,,,
223 Pond Way #A,Staten Island,5-Sep-18,"$167,209 ",730 sqft,10303
,,,,,
79 Simmons Loop,Staten Island,4-Sep-18,"$375,000 ","1,480 sqft",10314
,,,,,
214 Netherland Ave,Staten Island,4-Sep-18,"$388,000 ","1,400 sqft",10303
,,,,,
28 Pilcher St,Staten Island,4-Sep-18,"$815,000 ","2,394 sqft",10314
,,,,,
161 Mountainview Ave,Staten Island,4-Sep-18,"$855,000 ","2,606 sqft",10314
,,,,,
68 Linda Ave,Staten Island,4-Sep-18,"$260,000 ","1,300 sqft",10305
,,,,,
45 Vassar St,Staten Island,4-Sep-18,"$300,000 ","2,264 sqft",10314
,,,,,
16 Marx St,Staten Island,4-Sep-18,"$565,000 ","1,200 sqft",10301
,,,,,
26 Goller Pl,Staten Island,4-Sep-18,"$740,000 ","2,376 sqft",10314
,,,,,
897 Jewett Ave,Staten Island,4-Sep-18,"$947,990 ","2,345 sqft",10314
,,,,,
99 Pond Way #99,Staten Island,4-Sep-18,"$240,000 ","1,176 sqft",10303
,,,,,
26 Gardenia Ln #A,Staten Island,4-Sep-18,"$370,000 ","1,649 sqft",10314
,,,,,
404 Bryson Ave,Staten Island,4-Sep-18,Contact For Estimate,936 sqft,10314
,,,,,
49 Nostrand Ave,Staten Island,4-Sep-18,"$570,000 ","2,404 sqft",10314
,,,,,
89 Tarring St,Staten Island,4-Sep-18,"$780,000 ","2,785 sqft",10306
,,,,,
180 Canal St,Staten Island,1-Sep-18,"$1,600 ","3,432 sqft",10304
,,,,,
11 Ibsen Ave,Staten Island,31-Aug-18,"$549,000 ","1,512 sqft",10312
,,,,,
471 Harold St,Staten Island,31-Aug-18,"$545,000 ","1,392 sqft",10314
,,,,,
53 Lamport Blvd,Staten Island,31-Aug-18,"$490,000 ","1,230 sqft",10305
,,,,,
672 Edgegrove Ave,Staten Island,31-Aug-18,"$900,000 ","1,944 sqft",10312
,,,,,
85 Pierpont Pl,Staten Island,6-Sep-18,"$361,000 ","1,008 sqft",10314
,,,,,
487 Doane Ave,Staten Island,6-Sep-18,"$559,000 ","1,439 sqft",10308
,,,,,
129 Bayview Ter,Staten Island,6-Sep-18,"$750,000 ","1,440 sqft",10312
,,,,,
28 Norwich St,Staten Island,6-Sep-18,"$833,000 ","2,214 sqft",10314
,,,,,
135 Wolverine St,Staten Island,6-Sep-18,"$630,000 ","1,056 sqft",10306
,,,,,
513 Davis Ave,Staten Island,6-Sep-18,"$460,000 ",960 sqft,10310
,,,,,
15 John St,Staten Island,6-Sep-18,"$405,000 ","1,228 sqft",10302
,,,,,
132 Ryan Pl,Staten Island,6-Sep-18,"$950,000 ","3,000 sqft",10312
,,,,,
135 Roman Ave,Staten Island,6-Sep-18,"$575,000 ","1,304 sqft",10314
,,,,,
21 Holly Pl,Staten Island,6-Sep-18,"$715,000 ","2,128 sqft",10306
,,,,,
52 Sawyer Ave,Staten Island,6-Sep-18,"$900,000 ","2,168 sqft",10314
,,,,,
412 Woods Of Arden Rd,Staten Island,6-Sep-18,Contact For Estimate,"2,200 sqft",10312
,,,,,
63 Marvin Rd,Staten Island,6-Sep-18,"$725,000 ","2,212 sqft",10309
,,,,,
147 Alex Cir,Staten Island,6-Sep-18,"$510,000 ","1,554 sqft",10305
,,,,,
9 Ainsworth Ave,Staten Island,6-Sep-18,"$350,000 ","1,380 sqft",10308
,,,,,
360 Barlow Ave #11,Staten Island,6-Sep-18,"$310,000 ",823 sqft,10308
,,,,,
436 Gansevoort Blvd,Staten Island,6-Sep-18,"$525,000 ","1,512 sqft",10314
,,,,,
607 Clove Rd,Staten Island,6-Sep-18,"$595,000 ","1,560 sqft",10310
,,,,,
499 Lincoln Ave #501,Staten Island,5-Sep-18,"$590,585 ",921 sqft,10306
,,,,,
676 Bard Ave,Staten Island,5-Sep-18,"$545,000 ","1,760 sqft",10310
,,,,,
301 Wilson Ave,Staten Island,5-Sep-18,"$567,500 ","1,628 sqft",10312
,,,,,
571 Darlington Ave,Staten Island,5-Sep-18,"$780,000 ","2,024 sqft",10309
,,,,,
235 Hampton Grn,Staten Island,5-Sep-18,"$474,999 ","1,562 sqft",10312
,,,,,
23 Penn St,Staten Island,5-Sep-18,"$550,000 ","1,200 sqft",10314
,,,,,
194 Reno Ave,Staten Island,5-Sep-18,"$540,000 ",984 sqft,10306
,,,,,
64 Jerome Ave,Staten Island,5-Sep-18,"$780,000 ","1,716 sqft",10305
,,,,,
1304 Rockland Ave #1H,Staten Island,5-Sep-18,"$299,000 ",791 sqft,10314
,,,,,
127 Devon Loop,Staten Island,5-Sep-18,"$295,000 ",737 sqft,10314
,,,,,
22 Kingsbridge Ave,Staten Island,5-Sep-18,"$699,888 ","1,470 sqft",10314
,,,,,
540 Hunter Ave,Staten Island,5-Sep-18,Contact For Estimate,"1,282 sqft",10306
,,,,,
94 Gauldy Ave,Staten Island,7-Sep-18,Contact For Estimate,"1,296 sqft",10314
,,,,,
216 Egbert Ave,Staten Island,7-Sep-18,"$650,000 ","1,728 sqft",10310
,,,,,
65 Newark Ave,Staten Island,7-Sep-18,"$460,000 ","1,870 sqft",10302
,,,,,
69 Maple Pkwy,Staten Island,7-Sep-18,"$410,000 ","1,348 sqft",10303
,,,,,
226 Tallman St,Staten Island,7-Sep-18,"$540,000 ","4,500 sqft",10312
,,,,,
3 Alderwood Pl,Staten Island,7-Sep-18,"$892,500 ","2,205 sqft",10304
,,,,,
27 Vermont Ct,Staten Island,7-Sep-18,"$860,000 ","2,424 sqft",10314
,,,,,
645 Ilyssa Way,Staten Island,7-Sep-18,"$355,000 ","1,354 sqft",10312
,,,,,
36 Racal Ct #A3,Staten Island,7-Sep-18,"$312,000 ","1,202 sqft",10314
,,,,,
44 Cuba Ave,Staten Island,7-Sep-18,"$510,000 ","1,680 sqft",10306
,,,,,
44 Commerce St,Staten Island,7-Sep-18,"$699,900 ","1,868 sqft",10314
,,,,,
21 Rathbun Ave,Staten Island,7-Sep-18,"$670,000 ","2,278 sqft",10312
,,,,,
259 Ilyssa Way,Staten Island,7-Sep-18,"$360,000 ","1,354 sqft",10312
,,,,,
117 Dubois Ave,Staten Island,7-Sep-18,"$450,000 ","1,364 sqft",10310
,,,,,
9 Ludwig Ln #11,Staten Island,7-Sep-18,"$495,000 ","1,800 sqft",10303
,,,,,
41 Fieldstone Rd,Staten Island,7-Sep-18,"$818,000 ","1,840 sqft",10314
,,,,,
360 Barlow Ave #A-8,Staten Island,7-Sep-18,"$315,000 ",948 sqft,10308
,,,,,
26 Bleeker Pl,Staten Island,7-Sep-18,"$200,000 ","2,338 sqft",10314
,,,,,
33 Fairbanks Ave,Staten Island,7-Sep-18,"$759,000 ","1,958 sqft",10306
,,,,,
163 Hampton Grn,Staten Island,7-Sep-18,"$442,500 ","1,496 sqft",10312
,,,,,
72 Ionia Ave,Staten Island,7-Sep-18,"$946,972 ","2,414 sqft",10312
,,,,,
699 W Fingerboard Rd,Staten Island,7-Sep-18,"$800,000 ","1,344 sqft",10305
,,,,,
79 Oakville St,Staten Island,7-Sep-18,"$863,000 ","1,748 sqft",10314
,,,,,
17 Derby Ct,Staten Island,7-Sep-18,"$395,000 ","1,120 sqft",10302
,,,,,
182 Crown Ave,Staten Island,7-Sep-18,"$769,000 ","2,029 sqft",10312
,,,,,
59 Lander Ave,Staten Island,7-Sep-18,"$700,000 ","1,976 sqft",10314
,,,,,
846 Sheldon Ave,Staten Island,7-Sep-18,"$499,900 ","1,120 sqft",10309
,,,,,
16 Darnell Ln,Staten Island,7-Sep-18,"$630,000 ","1,300 sqft",10309
,,,,,
571 Buchanan Ave #A,Staten Island,6-Sep-18,"$355,000 ",906 sqft,10314
,,,,,
8 Sweetgum Ln,Staten Island,6-Sep-18,"$640,000 ","1,856 sqft",10314
,,,,,
8 Dole St,Staten Island,11-Sep-18,"$485,000 ",798 sqft,10312
,,,,,
196 Hales Ave,Staten Island,11-Sep-18,"$490,932 ","1,000 sqft",10312
,,,,,
450 Caswell Ave #1,Staten Island,11-Sep-18,"$380,000 ","1,342 sqft",10314
,,,,,
382 Hoyt Ave,Staten Island,11-Sep-18,"$838,000 ","3,592 sqft",10301
,,,,,
786 Nugent Ave #790,Staten Island,11-Sep-18,"$525,000 ","1,300 sqft",10306
,,,,,
64 Liberty Ave,Staten Island,11-Sep-18,"$456,198 ","1,200 sqft",10304
,,,,,
605 Correll Ave,Staten Island,11-Sep-18,"$320,000 ",978 sqft,10309
,,,,,
123 Jerome Rd,Staten Island,11-Sep-18,"$715,000 ","1,440 sqft",10305
,,,,,
254 Lake Ave #B,Staten Island,11-Sep-18,"$595,000 ","1,410 sqft",10303
,,,,,
83 Country Dr S,Staten Island,11-Sep-18,"$420,000 ","1,888 sqft",10314
,,,,,
162 Spratt Ave,Staten Island,11-Sep-18,"$395,000 ","1,312 sqft",10306
,,,,,
75 Essex Dr #1F,Staten Island,11-Sep-18,"$415,000 ","1,228 sqft",10314
,,,,,
24 E Brandis Ave,Staten Island,10-Sep-18,"$640,000 ","1,584 sqft",10308
,,,,,
53 Levit Ave,Staten Island,10-Sep-18,"$750,000 ","1,596 sqft",10314
,,,,,
317 Cortelyou Ave,Staten Island,10-Sep-18,"$533,888 ","1,404 sqft",10312
,,,,,
50 Belair Rd #3I,Staten Island,10-Sep-18,"$293,000 ",964 sqft,10305
,,,,,
69 Mallow St,Staten Island,10-Sep-18,"$625,000 ","3,000 sqft",10309
,,,,,
145 Garrison Ave,Staten Island,10-Sep-18,"$520,000 ","1,008 sqft",10314
,,,,,
35 Jennifer Pl #25B,Staten Island,10-Sep-18,"$410,000 ","1,421 sqft",10314
,,,,,
91 Sharpe Ave,Staten Island,10-Sep-18,"$450,000 ","2,088 sqft",10302
,,,,,
496 Clifton Ave,Staten Island,10-Sep-18,"$545,000 ","1,230 sqft",10305
,,,,,
128 Wolverine St,Staten Island,10-Sep-18,"$740,000 ","1,352 sqft",10306
,,,,,
55 Crispi Ln,Staten Island,10-Sep-18,"$726,800 ","2,290 sqft",10308
,,,,,
168 Memphis Ave,Staten Island,10-Sep-18,"$800,000 ","2,308 sqft",10312
,,,,,
51 Calvanico Ln,Staten Island,10-Sep-18,"$549,900 ","1,308 sqft",10314
,,,,,
21 Shiloh St,Staten Island,10-Sep-18,"$655,000 ","1,140 sqft",10314
,,,,,
21 Roswell Ave,Staten Island,10-Sep-18,"$665,000 ","1,514 sqft",10314
,,,,,
47 Bombay St,Staten Island,10-Sep-18,"$650,000 ","2,496 sqft",10309
,,,,,
48 Mulberry Cir,Staten Island,10-Sep-18,"$594,900 ","1,288 sqft",10314
,,,,,
133 Bismark Ave,Staten Island,10-Sep-18,"$400,000 ","1,316 sqft",10301
,,,,,
469 Genesee Ave,Staten Island,13-Sep-18,"$645,000 ","1,820 sqft",10312
,,,,,
19 Hastings St,Staten Island,13-Sep-18,"$510,000 ",784 sqft,10305
,,,,,
31 Cardinal Ln,Staten Island,12-Sep-18,"$650,000 ","1,512 sqft",10306
,,,,,
28 McVeigh Ave,Staten Island,12-Sep-18,"$687,000 ","2,280 sqft",10314
,,,,,
13 Pierpont Pl,Staten Island,12-Sep-18,"$396,000 ","1,242 sqft",10314
,,,,,
482 Travis Ave,Staten Island,12-Sep-18,"$690,000 ","2,442 sqft",10314
,,,,,
685 Tompkins Ave,Staten Island,12-Sep-18,"$805,000 ","2,111 sqft",10305
,,,,,
16 Clarence Pl,Staten Island,12-Sep-18,"$531,000 ","1,092 sqft",10306
,,,,,
287 Aspen Knolls Way,Staten Island,12-Sep-18,"$329,000 ","1,354 sqft",10312
,,,,,
461 Jefferson Ave,Staten Island,12-Sep-18,"$579,000 ","1,408 sqft",10306
,,,,,
185 Lewiston St,Staten Island,12-Sep-18,"$670,000 ","1,510 sqft",10314
,,,,,
117 Rosedale Ave,Staten Island,12-Sep-18,"$520,000 ","2,056 sqft",10312
,,,,,
19 Jillian Ct,Staten Island,12-Sep-18,"$402,800 ",925 sqft,10310
,,,,,
152 Quintard St,Staten Island,14-Sep-18,"$495,500 ","1,100 sqft",10305
,,,,,
46 Heaney Ave,Staten Island,14-Sep-18,"$432,000 ","1,158 sqft",10303
,,,,,
120 Warwick Ave,Staten Island,14-Sep-18,"$700,000 ","1,966 sqft",10314
,,,,,
71 Elson St,Staten Island,14-Sep-18,"$499,000 ","1,470 sqft",10314
,,,,,
129 Palmer Ave,Staten Island,14-Sep-18,"$253,482 ","1,715 sqft",10302
,,,,,
366 Greeley Ave,Staten Island,14-Sep-18,"$527,500 ","1,120 sqft",10306
,,,,,
80 Bay Street Lndg #6N,Staten Island,13-Sep-18,"$535,000 ",900 sqft,10301
,,,,,
33 Armond St,Staten Island,13-Sep-18,"$325,000 ",972 sqft,10314
,,,,,
446 Tompkins Ave,Staten Island,13-Sep-18,"$308,750 ","1,080 sqft",10305
,,,,,
134 Cleveland Ave,Staten Island,13-Sep-18,"$398,000 ",800 sqft,10308
,,,,,
980 W Fingerboard Rd,Staten Island,13-Sep-18,"$760,000 ","1,769 sqft",10304
,,,,,
43 Anderson St,Staten Island,13-Sep-18,"$400,000 ","1,296 sqft",10305
,,,,,
87 Pierpont Pl,Staten Island,13-Sep-18,"$340,000 ","1,008 sqft",10314
,,,,,
726 Sheldon Ave,Staten Island,13-Sep-18,"$640,000 ","2,042 sqft",10312
,,,,,
19 Vermont Ct,Staten Island,13-Sep-18,"$840,000 ","2,424 sqft",10314
,,,,,
35 Pearsall St,Staten Island,13-Sep-18,"$525,000 ","1,056 sqft",10305
,,,,,
65 Bowdoin St,Staten Island,17-Sep-18,"$845,000 ","2,488 sqft",10314
,,,,,
121 Russell St,Staten Island,17-Sep-18,"$290,000 ",652 sqft,10308
,,,,,
7 Franklin Ln #A,Staten Island,14-Sep-18,"$409,999 ","1,320 sqft",10306
,,,,,
359 Colon Ave,Staten Island,14-Sep-18,"$605,000 ","1,440 sqft",10308
,,,,,
123 Harvard Ave,Staten Island,14-Sep-18,"$530,000 ","1,644 sqft",10301
,,,,,
570 Wainwright Ave,Staten Island,14-Sep-18,Contact For Estimate,912 sqft,10312
,,,,,
283 Decker Ave,Staten Island,14-Sep-18,Contact For Estimate,"1,332 sqft",10302
,,,,,
117 Woodvale Ave,Staten Island,14-Sep-18,"$488,241 ","3,368 sqft",10309
,,,,,
71 Mobile Ave,Staten Island,14-Sep-18,"$588,000 ","1,140 sqft",10306
,,,,,
248 Aspen Knolls Way,Staten Island,14-Sep-18,"$349,000 ","1,354 sqft",10312
,,,,,
73 Arlington Pl,Staten Island,14-Sep-18,"$339,000 ","1,532 sqft",10303
,,,,,
1040 Victory Blvd,Staten Island,14-Sep-18,"$645,000 ","1,672 sqft",10301
,,,,,
390 Saint Marks Pl,Staten Island,14-Sep-18,Contact For Estimate,"1,400 sqft",10301
,,,,,
41 Wellington Ct #4A,Staten Island,14-Sep-18,"$395,000 ","1,082 sqft",10314
,,,,,
34 Lexington Ln,Staten Island,14-Sep-18,"$415,000 ","1,190 sqft",10308
,,,,,
51 Bayside Ln,Staten Island,14-Sep-18,"$978,000 ","3,999 sqft",10309
,,,,,
36 Saturn Ln #36,Staten Island,14-Sep-18,"$320,000 ",942 sqft,10314
,,,,,
282 Lathrop Ave,Staten Island,14-Sep-18,"$595,000 ","1,728 sqft",10314
,,,,,
129 Anthony St,Staten Island,14-Sep-18,"$660,000 ","1,750 sqft",10309
,,,,,
95 Saint Marys Ave,Staten Island,14-Sep-18,"$223,080 ",847 sqft,10305
,,,,,
10 McKee Ave,Staten Island,14-Sep-18,"$666,851 ",935 sqft,10308
,,,,,
452 Laconia Ave,Staten Island,14-Sep-18,"$666,953 ","2,150 sqft",10305
,,,,,
153 Morani St,Staten Island,14-Sep-18,"$283,250 ","1,078 sqft",10314
,,,,,
223 Midland Ave,Staten Island,14-Sep-18,"$520,000 ","1,140 sqft",10306
,,,,,
24 Croft Pl,Staten Island,14-Sep-18,"$460,000 ","1,300 sqft",10314
,,,,,
246 Poultney St,Staten Island,14-Sep-18,"$693,000 ","1,932 sqft",10306
,,,,,
12 Brabant St,Staten Island,14-Sep-18,"$530,000 ","2,126 sqft",10303
,,,,,
47 Perkiomen Ave,Staten Island,14-Sep-18,"$738,000 ","2,248 sqft",10312
,,,,,
586 Woolley Ave,Staten Island,14-Sep-18,"$661,862 ","1,080 sqft",10314
,,,,,
79 Mariners Ln,Staten Island,14-Sep-18,"$377,800 ","1,260 sqft",10303
,,,,,
34 Loring Ave,Staten Island,20-Sep-18,"$520,000 ","1,472 sqft",10312
,,,,,
33 Veltman Ave,Staten Island,19-Sep-18,"$500,000 ","1,096 sqft",10302
,,,,,
414 Weser Ave #A,Staten Island,19-Sep-18,"$387,500 ","1,248 sqft",10304
,,,,,
41 Hinton St,Staten Island,19-Sep-18,"$540,000 ","1,456 sqft",10312
,,,,,
186 Burgher Ave,Staten Island,19-Sep-18,"$675,000 ",944 sqft,10305
,,,,,
93 Elizabeth St,Staten Island,19-Sep-18,"$435,690 ","1,925 sqft",10310
,,,,,
599 Correll Ave #A,Staten Island,19-Sep-18,"$345,000 ",922 sqft,10309
,,,,,
140 Devon Loop #3,Staten Island,19-Sep-18,"$335,000 ",914 sqft,10314
,,,,,
46 Monterey Ave,Staten Island,19-Sep-18,"$675,000 ","1,912 sqft",10312
,,,,,
121 Rockville Ave,Staten Island,19-Sep-18,"$660,000 ","2,270 sqft",10314
,,,,,
4 Milton Ave,Staten Island,19-Sep-18,"$740,000 ","1,776 sqft",10306
,,,,,
166 Dartmouth Loop,Staten Island,19-Sep-18,"$668,000 ","1,300 sqft",10306
,,,,,
20 Challenger Dr,Staten Island,19-Sep-18,"$375,000 ","1,480 sqft",10312
,,,,,
363 Cromwell Ave,Staten Island,19-Sep-18,"$640,000 ","2,200 sqft",10305
,,,,,
14 Remsen St,Staten Island,19-Sep-18,"$900,000 ","2,770 sqft",10304
,,,,,
155 Morani St,Staten Island,21-Sep-18,"$499,888 ","1,480 sqft",10314
,,,,,
338 Ionia Ave,Staten Island,21-Sep-18,"$550,000 ","1,170 sqft",10312
,,,,,
58 Cromwell Cir,Staten Island,21-Sep-18,"$1,400,000 ","2,300 sqft",10304
,,,,,
115 Bayview Ave #A,Staten Island,21-Sep-18,"$965,000 ","2,700 sqft",10309
,,,,,
182 Regis Dr,Staten Island,21-Sep-18,"$482,300 ","1,912 sqft",10314
,,,,,
193 South Ave,Staten Island,20-Sep-18,"$700,000 ","2,664 sqft",10303
,,,,,
18 Atmore Pl,Staten Island,20-Sep-18,"$480,000 ","1,140 sqft",10306
,,,,,
327 Green Valley Rd,Staten Island,20-Sep-18,"$579,000 ","1,614 sqft",10312
,,,,,
146 Hagaman Pl,Staten Island,20-Sep-18,Contact For Estimate,928 sqft,10302
,,,,,
28 Carlyle Grn,Staten Island,20-Sep-18,"$475,000 ","1,408 sqft",10312
,,,,,
206 Jamie Ln,Staten Island,20-Sep-18,"$396,970 ","1,553 sqft",10312
,,,,,
98 Lyceum Ct,Staten Island,20-Sep-18,"$405,000 ","1,176 sqft",10310
,,,,,
77 Token St,Staten Island,20-Sep-18,"$449,000 ","1,120 sqft",10312
,,,,,
31 McKee Ave,Staten Island,20-Sep-18,"$526,000 ","1,414 sqft",10308
,,,,,
21 Gadsen Pl #2A,Staten Island,20-Sep-18,"$314,239 ",791 sqft,10314
,,,,,
102 Redwood Loop,Staten Island,20-Sep-18,"$470,000 ","2,220 sqft",10309
,,,,,
220 Wieland Ave,Staten Island,20-Sep-18,"$750,000 ","1,799 sqft",10309
,,,,,
108 Gold Ave,Staten Island,20-Sep-18,"$625,000 ","1,880 sqft",10312
,,,,,
3146 Richmond Ter,Staten Island,20-Sep-18,"$266,000 ",532 sqft,10303
,,,,,
3794 Richmond Ave,Staten Island,20-Sep-18,"$400,000 ","1,093 sqft",10312
,,,,,
561 Van Duzer St,Staten Island,26-Sep-18,"$413,000 ","1,012 sqft",10304
,,,,,
325 Lamberts Ln,Staten Island,26-Sep-18,"$555,000 ","1,800 sqft",10314
,,,,,
122 Ashworth Ave,Staten Island,26-Sep-18,"$605,000 ","1,800 sqft",10314
,,,,,
34 Durges St,Staten Island,26-Sep-18,"$645,000 ","1,232 sqft",10304
,,,,,
40 Eva Ave,Staten Island,26-Sep-18,"$552,000 ","1,050 sqft",10306
,,,,,
45 Essex Dr,Staten Island,26-Sep-18,"$742,000 ","2,100 sqft",10314
,,,,,
166 Bement Ct,Staten Island,26-Sep-18,"$515,000 ","1,152 sqft",10310
,,,,,
25 Reading Ave,Staten Island,26-Sep-18,"$800,000 ","2,248 sqft",10312
,,,,,
85 Keegans Ln,Staten Island,26-Sep-18,"$558,000 ","1,170 sqft",10308
,,,,,
231 Freeborn St,Staten Island,26-Sep-18,"$227,000 ",360 sqft,10306
,,,,,
11 Dellwood Rd,Staten Island,26-Sep-18,Contact For Estimate,"1,564 sqft",10304
,,,,,
54 Hale St,Staten Island,26-Sep-18,"$925,000 ","2,700 sqft",10307
,,,,,
334 Colony Ave,Staten Island,26-Sep-18,"$520,000 ","1,120 sqft",10306
,,,,,
42 Jackson St,Staten Island,26-Sep-18,"$400,000 ","1,484 sqft",10304
,,,,,
679 Huguenot Ave,Staten Island,25-Sep-18,Contact For Estimate,"2,000 sqft",10312
,,,,,
125 Pembrook Loop,Staten Island,25-Sep-18,"$440,000 ","1,672 sqft",10309
,,,,,
106 Coursen Pl,Staten Island,25-Sep-18,"$345,000 ","1,112 sqft",10304
,,,,,
111 Coale Ave,Staten Island,25-Sep-18,"$758,000 ","1,600 sqft",10314
,,,,,
314 Lake Ave,Staten Island,25-Sep-18,"$430,000 ","2,112 sqft",10303
,,,,,
360 Barlow Ave #B5,Staten Island,25-Sep-18,"$280,000 ","1,061 sqft",10308
,,,,,
42 Cypress Loop,Staten Island,25-Sep-18,"$389,000 ","1,188 sqft",10309
,,,,,
274 Manor Rd,Staten Island,25-Sep-18,"$539,000 ","1,576 sqft",10314
,,,,,
451 Gower St,Staten Island,25-Sep-18,"$780,000 ","1,988 sqft",10314
,,,,,
911 Post Ave,Staten Island,25-Sep-18,Contact For Estimate,"1,523 sqft",10302
,,,,,
40 Arrowood Ct #612-116,Staten Island,25-Sep-18,"$420,000 ","1,400 sqft",10309
,,,,,
29 Clarion Ct,Staten Island,25-Sep-18,"$398,000 ","1,280 sqft",10310
,,,,,
366 Willowbrook Rd,Staten Island,25-Sep-18,"$535,000 ","1,058 sqft",10314
,,,,,
7 Maryland Ln,Staten Island,25-Sep-18,"$490,000 ","1,150 sqft",10305
,,,,,
16 Nash Ct,Staten Island,25-Sep-18,"$500,000 ","1,200 sqft",10308
,,,,,
24 Waterside St,Staten Island,25-Sep-18,"$226,000 ",420 sqft,10306
,,,,,
285 Leverett Ave,Staten Island,27-Sep-18,"$420,000 ","1,497 sqft",10308
,,,,,
43 Ray St,Staten Island,27-Sep-18,"$555,000 ","1,280 sqft",10312
,,,,,
435 Hillman Ave,Staten Island,27-Sep-18,"$618,000 ","1,600 sqft",10314
,,,,,
149 Colfax Ave,Staten Island,27-Sep-18,"$599,900 ","1,340 sqft",10306
,,,,,
388 Little Clove Rd,Staten Island,27-Sep-18,"$698,000 ","2,576 sqft",10301
,,,,,
705 Lamont Ave,Staten Island,27-Sep-18,"$1,487,500 ","5,600 sqft",10312
,,,,,
391 Castleton Ave,Staten Island,27-Sep-18,"$649,000 ","2,496 sqft",10301
,,,,,
17 Bache Ave,Staten Island,27-Sep-18,"$625,000 ",672 sqft,10306
,,,,,
359 Aspen Knolls Way,Staten Island,27-Sep-18,"$350,000 ","1,354 sqft",10312
,,,,,
963 Forest Hill Rd,Staten Island,27-Sep-18,"$600,000 ","1,368 sqft",10314
,,,,,
56 Madsen Ave,Staten Island,1-Oct-18,"$1,282,500 ","3,600 sqft",10309
,,,,,
59 Hampton Grn,Staten Island,1-Oct-18,"$430,000 ","1,740 sqft",10312
,,,,,
81 Ravenhurst Ave,Staten Island,1-Oct-18,"$640,000 ","1,215 sqft",10310
,,,,,
