address,city,soldDate,soldPrice,sqft,zipCode
,,,,,
574 Amsterdam Ave,New York,31-Dec-18,Contact For Estimate,"14,800 sqft",10024
,,,,,
432 Park Ave #442,New York,31-Dec-18,Contact For Estimate,"3,977 sqft",10022
,,,,,
200 E 62nd St #14E,New York,31-Dec-18,"$3,120,936 ","1,936 sqft",10065
,,,,,
247 W 46th St #3203,New York,31-Dec-18,"$2,350,000 ","1,400 sqft",10036
,,,,,
140 E 56th St #3G,New York,31-Dec-18,"$480,000 ",488 sqft,10022
,,,,,
55 Wall St #722,New York,31-Dec-18,Contact For Estimate,856 sqft,10005
,,,,,
130 Fulton St #11A,New York,31-Dec-18,"$1,900,000 ","1,900 sqft",10038
,,,,,
200 W 72nd St,New York,31-Dec-18,Contact For Estimate,"157,952 sqft",10023
,,,,,
15 Broad St #3710,New York,31-Dec-18,"$2,500,000 ","1,961 sqft",10005
,,,,,
7 E 9th St #4,New York,30-Dec-18,"$2,575,000 ","6,670 sqft",10003
,,,,,
333 E 34th St #17C,New York,28-Dec-18,"$1,330,000 ","1,185 sqft",10016
,,,,,
1619 3rd Ave #13F,New York,28-Dec-18,"$1,360,000 ","1,157 sqft",10128
,,,,,
438-448 W 37th St #8A,New York,28-Dec-18,"$1,700,000 ","1,840 sqft",10018
,,,,,
190 Riverside Dr #10C,New York,28-Dec-18,"$4,700,000 ","2,670 sqft",10024
,,,,,
295 Bennett Ave #6D,New York,28-Dec-18,"$393,900 ","316,007 sqft",10040
,,,,,
301 W 57th St #22D,New York,28-Dec-18,"$2,025,000 ","1,033 sqft",10019
,,,,,
301 W 110th St #17H,New York,28-Dec-18,"$999,950 ",861 sqft,10026
,,,,,
22 Renwick St #1A,New York,28-Dec-18,"$2,355,000 ","1,388 sqft",10013
,,,,,
45 Park Ave #903,New York,28-Dec-18,"$2,175,000 ","1,440 sqft",10016
,,,,,
302 W 12th St #11E,New York,28-Dec-18,Contact For Estimate,"1,301 sqft",10014
,,,,,
407 E 12th St #1RSE,New York,28-Dec-18,"$1,986,075 ","1,453 sqft",10009
,,,,,
1235 Park Ave #3C,New York,3-Jan-19,"$1,985,000 ","1,728 sqft",10128
,,,,,
80 John St #2G,New York,8-Jan-19,"$1,140,000 ","1,000 sqft",10038
,,,,,
1 Irving Pl #U16F,New York,8-Jan-19,"$1,225,000 ",785 sqft,10003
,,,,,
1619 3rd Ave #16H,New York,8-Jan-19,"$1,250,000 ","1,182 sqft",10128
,,,,,
415 Greenwich St #8D,New York,7-Jan-19,"$3,200,000 ","1,850 sqft",10013
,,,,,
75 Wall St #33F,New York,7-Jan-19,Contact For Estimate,978 sqft,10005
,,,,,
200 Riverside Blvd #24E,New York,7-Jan-19,"$1,720,000 ","1,217 sqft",10069
,,,,,
330 E 38th St #37N,New York,7-Jan-19,"$2,285,000 ","1,699 sqft",10016
,,,,,
217 E 4th St,New York,7-Jan-19,Contact For Estimate,"6,685 sqft",10009
,,,,,
250 E 49th St #25PHC,New York,7-Jan-19,Contact For Estimate,490 sqft,10017
,,,,,
252 7th Ave #7C,New York,7-Jan-19,"$1,600,000 ",992 sqft,10001
,,,,,
200 E 32nd St #20C,New York,7-Jan-19,"$1,368,000 ",976 sqft,10016
,,,,,
242 W 136th St,New York,7-Jan-19,"$2,000,000 ","3,400 sqft",10030
,,,,,
18-20 Pine St #1503,New York,7-Jan-19,"$770,000 ",656 sqft,10005
,,,,,
101 Leonard St #4D,New York,7-Jan-19,"$2,515,000 ","1,510 sqft",10013
,,,,,
116-118 Wooster St #5B,New York,4-Jan-19,"$1,725,000 ","1,268 sqft",10012
,,,,,
330 E 33rd St #14F,New York,4-Jan-19,"$585,000 ",485 sqft,10016
,,,,,
42 West St,New York,4-Jan-19,"$2,495,000 ","62,360 sqft",10006
,,,,,
