address,built,city,propertyType,soldDate,soldPrice,sqft,zipCode
1619 3rd Ave #13F,ie,New York,2 baths,ie," Contact For Estimate
 ",2 beds,10128
7 E 9th St #4,1900,New York,2 baths,ie," Contact For Estimate
 ",2 beds,10003
15 Broad St #3710,1914,New York,2 baths,ie," Contact For Estimate
 ",2 beds,10005
55 Wall St #722,1836,New York,ie,ie,"       $620,000
      
     ",ie,10005
45 Park Ave #903,ie,Manhattan,2.5 baths,ie," Contact For Estimate
 ",2 beds,10016
247 W 46th St #3203,2007,New York,2.5 baths,ie," Contact For Estimate
 ",2 beds,10036
200 E 62nd St #14E,1967,New York,2.5 baths,ie," Contact For Estimate
 ",2 beds,10065
301 W 57th St #22D,ie,Manhattan,2 baths,ie," Contact For Estimate
 ",2 beds,10019
345 W 13th St #4F,1890,New York,2 baths,ie," Contact For Estimate
 ",3 beds,10014
301 W 57th St #7D,1987,New York,2 baths,ie," Contact For Estimate
 ",2 beds,10019
1600 Broadway #8D,2005,New York,1 bath,ie," Contact For Estimate
 ",1 bed,10019
845 United Nations Plz #44E,2001,New York,2 baths,ie," Contact For Estimate
 ",2 beds,10017
301 W 53rd St #13J,1979,New York,1 bath,ie," Contact For Estimate
 ",1 bed,10019
690 Riverside Dr #5D,1920,New York,1 bath,ie," Contact For Estimate
 ",2 beds,10031
105 Bennett Ave #66B,1939,New York,2 baths,ie," Contact For Estimate
 ",2 beds,10033
247 W 46th St #3903,2007,New York,2 baths,ie," Contact For Estimate
 ",2 beds,10036
1760 2nd Ave #29B,ie,New York,2 baths,ie," Contact For Estimate
 ",2 beds,10128
205 E 31st St,1901,New York,3.5 baths,ie," Contact For Estimate
 ",4 beds,10016
201 E 80th St #12G,1926,Manhattan,3 baths,ie," Contact For Estimate
 ",3 beds,10075
160 W 66th St #35E,1990,New York,1.5 baths,ie," Contact For Estimate
 ",1 bed,10023
340 E 23rd St #2D,ie,New York,2 baths,ie," Contact For Estimate
 ",2 beds,10010
301 W 110th St #1P,1988,New York,1 bath,ie," Contact For Estimate
 ",1 bed,10026
33 Henry St,ie,New York,1 bath,ie," Contact For Estimate
 ",2 beds,10002
521 Park Ave #11A,1912,New York,1.5 baths,ie," Contact For Estimate
 ",1 bed,10065
165 W 95th St #2N,1900,New York,1 bath,ie," Contact For Estimate
 ",1 bed,10025
462 W 25th St,ie,Manhattan,4.5 baths,ie," Contact For Estimate
 ",4 beds,10001
111 Fulton St #621,ie,Manhattan,580 sqft,ie," Contact For Estimate
 ",1 bath,10038
1 Wall Street Ct #803,1904,New York,366 sqft,ie," Contact For Estimate
 ",1 bath,10005
211 W 71st St #4C,1986,New York,ie,ie,"       $999,000
      
     ",ie,10023
188 E 76th St #4B,1996,New York,2 baths,ie," Contact For Estimate
 ",2 beds,10021
247 W 46th St #2503,2007,New York,2.5 baths,ie," Contact For Estimate
 ",2 beds,10036
159 W 53rd St #11D,1968,New York,1 bath,ie," Contact For Estimate
 ",1 bed,10019
333 W 56th St #8M,1904,New York,1 bath,ie," Contact For Estimate
 ",1 bed,10019
524 E 72nd St #22A,ie,Manhattan,1 bath,ie," Contact For Estimate
 ",1 bed,10021
166 E 63rd St #3H,1959,New York,528 sqft,ie," Contact For Estimate
 ",1 bath,10065
217 W 19th St #10-221,2002,New York,3 baths,ie," Contact For Estimate
 ",3 beds,10011
2250 Broadway #4E,1987,New York,1 bath,ie," Contact For Estimate
 ",1 bed,10024
146 W 57th St #39B,1986,New York,2 baths,ie," Contact For Estimate
 ",1 bed,10019
23 W 116th St #7H,2014,New York,1 bath,ie," Contact For Estimate
 ",1 bed,10026
340 E 23rd St #10E,2007,New York,2 baths,ie," Contact For Estimate
 ",2 beds,10010
425 5th Ave #33D,2003,New York,2 baths,ie," Contact For Estimate
 ",2 beds,10016
333 Rector Pl #1509,1985,New York,2 baths,ie," Contact For Estimate
 ",2 beds,10280
400 E 67th St #29B,2005,New York,3.5 baths,ie," Contact For Estimate
 ",3 beds,10065
345 E 33rd St,ie,Manhattan,1 bath,ie," Contact For Estimate
 ",2 beds,10016
22 E 82nd St #3,1900,New York,2 baths,ie," Contact For Estimate
 ",1 bed,10028
1 Sheridan Sq #3C,1920,New York,466 sqft,ie," Contact For Estimate
 ",1 bath,10014
300 E 64th St #11C,ie,New York,2 baths,ie," Contact For Estimate
 ",1 bed,10065
157 E 32nd St #7D,1988,New York,1 bath,ie," Contact For Estimate
 ",1 bed,10016
245 7th Ave #7C,1911,New York,1.5 baths,ie," Contact For Estimate
 ",1 bed,10001
181 E 90th St #26A,2004,New York,3 baths,ie," Contact For Estimate
 ",3 beds,10128
200 E 24th St #1809,1972,New York,1 bath,ie," Contact For Estimate
 ",1 bed,10010
200 E 66th St #E2006,ie,New York,1.5 baths,ie," Contact For Estimate
 ",1 bed,10065
407 W 50th St,ie,New York,1 bath,ie," Contact For Estimate
 ",1 bed,10019
510 W 110th St #12D,1909,New York,1 bath,ie," Contact For Estimate
 ",1 bed,10025
15 Broad St #2320,1914,New York,2 baths,ie," Contact For Estimate
 ",2 beds,10005
245 E 93rd St #26C,1986,New York,1.5 baths,ie," Contact For Estimate
 ",2 beds,10128
252 W 17th St #6A,ie,Manhattan,2 baths,ie," Contact For Estimate
 ",2 beds,10011
58 W 129th St #2C,ie,Manhattan,480 sqft,ie," Contact For Estimate
 ",1 bath,10027
177 Winham Ave,1970,Staten Island,2 baths,ie," Contact For Estimate
 ",3 beds,10306
100 Colfax Ave #6H,ie,Staten Island,1 bath,ie," Contact For Estimate
 ",2 beds,10306
71 Graves St,1999,Staten Island,3 baths,ie," Contact For Estimate
 ",3 beds,10314
14 Meadow Ct,1984,Staten Island,1.5 baths,ie," Contact For Estimate
 ",3 beds,10309
159 Taylor St,1899,Staten Island,Single-Family Home,ie," Contact For Estimate
 ","2,735 sqft",10310
25 Hatfield Pl,1905,Staten Island,2 baths,ie," Contact For Estimate
 ",4 beds,10302
187 Colon Ave,ie,Staten Island,2.5 baths,ie," Contact For Estimate
 ",3 beds,10308
10 Wayne St,1990,Staten Island,1 bath,ie," Contact For Estimate
 ",3 beds,10310
349 Yetman Ave,1915,Staten Island,2 baths,ie," Contact For Estimate
 ",3 beds,10307
46 Talarico Ct,2005,Staten Island,4 baths,ie," Contact For Estimate
 ",3 beds,10314
77 Fraser St,1970,Staten Island,4 baths,ie," Contact For Estimate
 ",6 beds,10314
229 Pond Way #A,1988,Staten Island,Condo,ie," Contact For Estimate
 ",730 sqft,10303
85 Elmwood Park Dr #23,1986,Staten Island,1 bath,ie," Contact For Estimate
 ",1 bed,10314
181 Muller Ave,2016,Staten Island,4 baths,ie," Contact For Estimate
 ",3 beds,10314
100 Colfax Ave #4F,1961,Staten Island,Condo,"Jun 15, 2018","265,000",871 sqft,10306
16 Bentley Ln,1999,Staten Island,Multi-Family,"Jun 15, 2018","555,000","1,350 sqft",10307
1288 Bay St,ie,Staten Island,3 baths,ie," Contact For Estimate
 ",4 beds,10305
26 Hillwood Ct,1979,Staten Island,Condo,"Jun 15, 2018","44,580,000",648 sqft,10305
36 McVeigh Ave,1980,Staten Island,Multi-Family,"Jun 15, 2018","670,000","2,280 sqft",10314
168 Roosevelt Ave,1975,Staten Island,Unknown,"Jun 15, 2018","480,000","1,420 sqft",10314
234 Hart Ave,1931,Staten Island,Single-Family Home,"Jun 15, 2018","610,000","1,034 sqft",10310
307 Arden Ave,1940,Staten Island,ie,ie,"       $574,900
      
     ",ie,10312
27 Piave Ave,1999,Staten Island,Multi-Family,"Jun 15, 2018","625,000","1,600 sqft",10305
729 Correll Ave,1992,Staten Island,Single-Family Home,"Jun 15, 2018","425,000","1,900 sqft",10309
1604 Woodrow Rd,2005,Staten Island,Single-Family Home,"Jun 15, 2018","595,000","2,070 sqft",10309
1306 Rockland Ave #1A,1973,Staten Island,Condo,"Jun 15, 2018","261,820",791 sqft,10314
60 Kenmore St,1975,Staten Island,Single-Family Home,"Jun 15, 2018","600,000","1,536 sqft",10312
66 Sheraden Ave,1960,Staten Island,Unknown,"Jun 15, 2018","525,000","1,050 sqft",10314
42 Marne Ave,1990,Staten Island,Single-Family Home,"Jun 15, 2018","720,000","1,912 sqft",10312
209 Dover Grn,1975,Staten Island,Single-Family Home,"Jun 15, 2018","508,000","1,516 sqft",10312
295 Van Name Ave,1960,Staten Island,Single-Family Home,ie,"397,252
 ","1,196 sqft",10303
24 Kyle Ct,1975,Staten Island,Single-Family Home,"Jun 15, 2018","437,000","1,392 sqft",10312
124 Kensico St,1970,Staten Island,Single-Family Home,"Jun 15, 2018","750,000","2,088 sqft",10306
440 Ashland Ave,1965,Staten Island,Single-Family Home,"Jun 15, 2018","525,000","1,144 sqft",10309
122 Johnson Ave,1901,Staten Island,Single-Family Home,"Jun 15, 2018","520,000","1,000 sqft",10307
55 Austin Pl #5V,1962,Staten Island,Condo,"Jun 17, 2018","160,000",453 sqft,10304
12 Watkins Ave,1976,Staten Island,Single-Family Home,"Jun 18, 2018","457,821","1,632 sqft",10312
468 Barlow Ave,1970,Staten Island,Unknown,"Jun 13, 2018","530,000","1,428 sqft",10308
441 Maryland Ave,1988,Staten Island,Single-Family Home,"Jun 13, 2018","470,000","1,060 sqft",10305
610 Bement Ave,1930,Staten Island,Single-Family Home,"Jun 13, 2018","775,000","1,676 sqft",10310
34 Challenger Dr,1989,Staten Island,Single-Family Home,"Jun 13, 2018","390,000","1,480 sqft",10312
278 Ashworth Ave #236,1986,Staten Island,Condo,"Jun 13, 2018","505,000","1,233 sqft",10314
267 Candon Ave,1991,Staten Island,Single-Family Home,"Jun 13, 2018","438,888","1,600 sqft",10309
46 Kirshon Ave,1975,Staten Island,Unknown,"Jun 13, 2018","480,000","1,248 sqft",10314
99 Northern Blvd,1965,Staten Island,Single-Family Home,ie,"885,495
 ","2,036 sqft",10301
596 Rathbun Ave,1955,Staten Island,Single-Family Home,"Jun 13, 2018","530,000","1,130 sqft",10312
297 Lamberts Ln,1986,Staten Island,Single-Family Home,"Jun 14, 2018","425,000","1,150 sqft",10314
24 Simonson Ave,1915,Staten Island,Single-Family Home,"Jun 14, 2018","359,000","1,428 sqft",10303
28 Openview Ln,ie,Staten Island,ie,"Jun 14, 2018","560,037",Lot/Land,10302
24 Oakville St,1982,Staten Island,Single-Family Home,"Jun 14, 2018","460,000","1,420 sqft",10314
74 Eltinge St,1930,Staten Island,Multi-Family,"Jun 14, 2018","880,000","3,084 sqft",10304
203 Sinclair Ave,1945,Staten Island,Single-Family Home,"Jun 14, 2018","529,000","1,128 sqft",10312
80 Van Name Ave,2005,Staten Island,Single-Family Home,"Jun 14, 2018","500,000","1,120 sqft",10303
90 Bay Street Lndg #8A,1900,Staten Island,Condo,"Jun 14, 2018","1,350,000","1,665 sqft",10301
112 West Ter,1970,Staten Island,Single-Family Home,"Jun 14, 2018","643,000","1,848 sqft",10312
402 Guyon Ave,1920,Staten Island,Single-Family Home,ie,"1,570,558
 ","2,146 sqft",10306
1021 Sheldon Ave,1999,Staten Island,Single-Family Home,"Jun 14, 2018","595,000","1,650 sqft",10309
185 Mason Blvd,2006,Staten Island,Multi-Family,"Jun 14, 2018","880,000","3,346 sqft",10309
75 Harbor Rd,2007,Staten Island,Multi-Family,"Jun 15, 2018","608,000","2,134 sqft",10303
603 Ilyssa Way,1996,Staten Island,Single-Family Home,"Jun 15, 2018","240,000",929 sqft,10312
40 Country Dr N #22,1990,Staten Island,Condo,"Jun 15, 2018","399,000","1,145 sqft",10314
42 Adrianne Ln,1992,Staten Island,Single-Family Home,"Jun 15, 2018","309,270","1,159 sqft",10303
569 Buchanan Ave #A,1991,Staten Island,Condo,"Jun 15, 2018","298,000",902 sqft,10314
20 Union Ave,2002,Staten Island,Single-Family Home,"Jun 15, 2018","360,000","1,150 sqft",10303
51 Cranford St,1975,Staten Island,Single-Family Home,"Jun 15, 2018","509,900","1,176 sqft",10308
511 Falcon Ave,1945,Staten Island,Unknown,"Jun 15, 2018","540,000","2,080 sqft",10306
127 Mosel Ave,2005,Staten Island,Single-Family Home,"Jun 12, 2018","365,000","1,050 sqft",10304
41 Walcott Ave,1980,Staten Island,Single-Family Home,ie,"1,431,368
 ","3,600 sqft",10314
36 Albion Pl,1955,Staten Island,Single-Family Home,"Jun 12, 2018","429,000","1,288 sqft",10302
81 Pilot Ln,2009,Staten Island,Single-Family Home,"Jun 12, 2018","769,999","2,365 sqft",10309
137 Fingerboard Rd,1915,Staten Island,Single-Family Home,"Jun 12, 2018","493,000","1,820 sqft",10305
20 Simon Ct,2001,Staten Island,Multi-Family,"Jun 12, 2018","925,000","3,168 sqft",10307
26 Eva Ave,1965,Staten Island,Single-Family Home,"Jun 12, 2018","628,000","1,873 sqft",10306
25 Fieldstone Rd,1970,Staten Island,Single-Family Home,"Jun 12, 2018","675,000","1,788 sqft",10314
104 Arnold St,1998,Staten Island,Single-Family Home,ie,"456,128
 ","1,800 sqft",10301
288 Ada Dr,1983,Staten Island,Multi-Family,ie,"525,936
 ","1,960 sqft",10314
111 Raymond Pl,1998,Staten Island,Single-Family Home,"Jun 12, 2018","477,000","1,080 sqft",10310
182 Windsor Rd,2007,Staten Island,Single-Family Home,"Jun 12, 2018","795,000","3,808 sqft",10314
254 Alter Ave,1993,Staten Island,Single-Family Home,"Jun 12, 2018","633,500","1,200 sqft",10305
121 Roff St,1965,Staten Island,Single-Family Home,"Jun 12, 2018","329,000","1,152 sqft",10304
247 Nugent St,2009,Staten Island,Single-Family Home,"Jun 12, 2018","1,600,000","3,472 sqft",10306
102 Plattsburg St,1955,Staten Island,Multi-Family,"Jun 12, 2018","332,667","1,824 sqft",10304
36 Amy Ct,1981,Staten Island,Condo,"Jun 12, 2018","465,000","1,793 sqft",10314
224 Dutchess Ave,1950,Staten Island,Single-Family Home,"Jun 12, 2018","1,125,000","1,008 sqft",10304
105 Gary St,2002,Staten Island,Single-Family Home,"Jun 12, 2018","588,000","1,536 sqft",10312
48 Quinn St,1901,Staten Island,Single-Family Home,"Jun 13, 2018","515,000","1,796 sqft",10304
35 Milbank Rd,1930,Staten Island,Income/Investment,"Jun 13, 2018","230,000",420 sqft,10306
2104 Forest Ave,1910,Staten Island,Multi-Family,ie," Contact For Estimate
 ","2,348 sqft",10303
66 Fahy Ave,1998,Staten Island,Single-Family Home,"Jun 13, 2018","582,000","1,720 sqft",10314
45 Saturn Ln #A,1990,Staten Island,Condo,"Jun 13, 2018","355,000",963 sqft,10314
19 Soren St,ie,Staten Island,ie,"Jun 13, 2018","945,954",Multi-Family,10314
24 Sweetgum Ln,2014,Staten Island,Single-Family Home,"Jun 13, 2018","635,000","1,925 sqft",10314
34 Mason Blvd,1986,Staten Island,Multi-Family,"Jun 13, 2018","810,000","2,832 sqft",10309
141 Bath Ave,1950,Staten Island,Multi-Family,"Jun 13, 2018","999,000","2,896 sqft",10305
111 Hamden Ave,1925,Staten Island,Multi-Family,"Jun 13, 2018","754,000","2,712 sqft",10306
12 Admiralty Loop,1995,Staten Island,Single-Family Home,"Jun 8, 2018","540,000","2,112 sqft",10309
45 Callan Ave,1978,Staten Island,Single-Family Home,"Jun 8, 2018","1,350,000","4,176 sqft",10304
26 Laredo Ave,1970,Staten Island,Multi-Family,"Jun 8, 2018","755,000","2,196 sqft",10312
284 Sprague Ave,1997,Staten Island,Single-Family Home,"Jun 8, 2018","379,000","1,500 sqft",10307
Chester Pl,ie,Staten Island,ie,ie," Contact For Estimate
 ",Lot/Land,10304
407 Doane Ave,1970,Staten Island,Unknown,"Jun 8, 2018","499,000","1,080 sqft",10308
15 Van Tuyl St,1930,Staten Island,Single-Family Home,"Jun 8, 2018","550,000","1,132 sqft",10301
370 Albourne Ave,1985,Staten Island,Multi-Family,"Jun 8, 2018","1,113,000","4,248 sqft",10309
405 Jewett Ave,1930,Staten Island,Single-Family Home,"Jun 8, 2018","510,000","1,304 sqft",10302
35 Fenway Cir,1970,Staten Island,Multi-Family,"Jun 8, 2018","750,000","2,184 sqft",10308
162 Steuben St,1988,Staten Island,Unknown,"Jun 8, 2018","350,000","1,528 sqft",10304
86 Macon Ave,1988,Staten Island,Single-Family Home,"Jun 8, 2018","272,500",816 sqft,10312
297 Monahan Ave,1980,Staten Island,Single-Family Home,"Jun 8, 2018","637,500","1,452 sqft",10314
99 Park Ave,1930,Staten Island,Multi-Family,"Jun 8, 2018","406,134","2,635 sqft",10302
169 Giffords Ln,1935,Staten Island,Single-Family Home,"Jun 8, 2018","544,000",896 sqft,10308
23 Ferguson Ct,2000,Staten Island,Multi-Family,"Jun 8, 2018","720,000","2,650 sqft",10307
28 Signs Rd,1970,Staten Island,Multi-Family,"Jun 8, 2018","799,999","2,446 sqft",10314
45 Harbor Rd,1920,Staten Island,Unknown,"Jun 11, 2018","250,000","1,069 sqft",10303
319 Yetman Ave,1899,Staten Island,Single-Family Home,"Jun 11, 2018","635,000","2,700 sqft",10307
5 Ibsen Ave,1980,Staten Island,Unknown,"Jun 11, 2018","525,000","1,512 sqft",10312
154 Park Ave,1920,Staten Island,Multi-Family,"Jun 11, 2018","360,000","2,272 sqft",10302
120 Seneca St,2008,Staten Island,Multi-Family,"Jun 11, 2018","565,000","1,487 sqft",10310
64 Ionia Ave,1970,Staten Island,Multi-Family,"Jun 11, 2018","770,000","2,414 sqft",10312
550 Bard Ave,1940,Staten Island,Single-Family Home,"Jun 11, 2018","775,000","1,912 sqft",10310
22 Villanova St,1987,Staten Island,Single-Family Home,"Jun 11, 2018","600,000","1,302 sqft",10314
181 Maryland Ave,1910,Staten Island,Multi-Family,ie,"628,319
 ","1,656 sqft",10305
185 Pacific Ave,1950,Staten Island,Single-Family Home,"Jun 11, 2018","555,000",960 sqft,10312
114 Sunset Ave,1970,Staten Island,Single-Family Home,"Jun 6, 2018","510,000","1,152 sqft",10314
393 Heberton Ave,1930,Staten Island,Multi-Family,"Jun 6, 2018","310,000","1,680 sqft",10302
28 East Broadway,1960,Staten Island,Single-Family Home,"Jun 7, 2018","590,000","1,800 sqft",10306
169 Van Buren St,1935,Staten Island,Multi-Family,"Jun 7, 2018","520,000","2,526 sqft",10301
297 Broad St,1920,Staten Island,Single-Family Home,"Jun 7, 2018","190,000","1,440 sqft",10304
55 Ironwood St,1984,Staten Island,Single-Family Home,"Jun 7, 2018","475,000","1,440 sqft",10308
100 Benjamin Dr,1988,Staten Island,Single-Family Home,"Jun 7, 2018","359,000","1,324 sqft",10303
29 Gadsen Pl #2C,1974,Staten Island,Condo,"Jun 7, 2018","235,248",640 sqft,10314
262 Glen Ave,1990,Staten Island,Single-Family Home,"Jun 7, 2018","375,000","1,596 sqft",10301
94 Sweetgum Ln,2013,Staten Island,Single-Family Home,"Jun 7, 2018","634,900","1,550 sqft",10314
543 Manor Rd,1940,Staten Island,Multi-Family,"Jun 7, 2018","470,000","1,824 sqft",10314
96 Debbie St,1990,Staten Island,Condo,"Jun 7, 2018","450,000","2,000 sqft",10314
321 Colony Ave,2004,Staten Island,Single-Family Home,"Jun 7, 2018","538,000","1,660 sqft",10306
224 Jefferson Ave,1960,Staten Island,Single-Family Home,"Jun 7, 2018","690,000","1,596 sqft",10306
116 Smith Pl,1930,Staten Island,Multi-Family,"Jun 7, 2018","630,000","3,144 sqft",10302
33 Trumbull Pl,2004,Staten Island,Multi-Family,"Jun 7, 2018","264,000","1,763 sqft",10301
15 Radcliff Rd,1970,Staten Island,Single-Family Home,"Jun 7, 2018","400,000","2,184 sqft",10305
7 Keating Pl,2001,Staten Island,Single-Family Home,"Jun 7, 2018","570,000","1,600 sqft",10314
1043 Rensselaer Ave,1998,Staten Island,Single-Family Home,"Jun 7, 2018","610,000","1,680 sqft",10309
492 Vanderbilt Ave,1945,Staten Island,Multi-Family,"Jun 7, 2018","220,393","1,297 sqft",10304
186 Moreland St,2006,Staten Island,Single-Family Home,ie," Contact For Estimate
 ","1,902 sqft",10306
18 Purcell St,1920,Staten Island,Single-Family Home,"Jun 7, 2018","639,000","1,088 sqft",10310
41 Wellington Ct #1D,1987,Staten Island,Condo,"Jun 7, 2018","355,000","1,082 sqft",10314
778 Nugent Ave,1993,Staten Island,Multi-Family,"Jun 8, 2018","655,000","1,500 sqft",10306
399 Richmond Hill Rd,1978,Staten Island,Multi-Family,"Jun 8, 2018","755,000","2,048 sqft",10314
133 Anthony St,2002,Staten Island,Multi-Family,"Jun 8, 2018","718,900","2,000 sqft",10309
46 Doreen Dr,1988,Staten Island,Single-Family Home,"Jun 8, 2018","439,000","1,324 sqft",10303
105 Loring Ave,1978,Staten Island,Single-Family Home,"Jun 8, 2018","569,000","1,600 sqft",10312
16 Canterbury Ave,1945,Staten Island,Single-Family Home,"Jun 8, 2018","430,950","1,020 sqft",10314
118 Evergreen St,1980,Staten Island,Multi-Family,"Jun 6, 2018","697,500","2,406 sqft",10308
229 Simonson Ave,1899,Staten Island,Single-Family Home,"Jun 6, 2018","550,000","1,560 sqft",10303
90 Vreeland St,1920,Staten Island,Multi-Family,"Jun 6, 2018","470,000","4,368 sqft",10302
305 Osgood Ave,ie,Staten Island,ie,"Jun 6, 2018","875,695",Multi-Family,10304
52 Perona Ln,2006,Staten Island,Multi-Family,"Jun 6, 2018","675,000","2,290 sqft",10308
44 Comfort Ct,2002,Staten Island,Single-Family Home,"Jun 6, 2018","765,000","1,720 sqft",10312
7 Revere Ln #A,1989,Staten Island,Multi-Family,"Jun 6, 2018","395,000",864 sqft,10306
23 Parish Ave,2005,Staten Island,Multi-Family,"Jun 6, 2018","550,000","1,255 sqft",10314
97 Morrison Ave,1993,Staten Island,Single-Family Home,"Jun 6, 2018","465,000","1,064 sqft",10310
16 Doe Pl,1901,Staten Island,Single-Family Home,"Jun 6, 2018","365,000",864 sqft,10310
312 Doane Ave,1980,Staten Island,Multi-Family,"Jun 6, 2018","860,000","2,296 sqft",10308
182 Manhattan St,1910,Staten Island,Single-Family Home,"Jun 6, 2018","540,000",788 sqft,10307
385 Lamoka Ave,1975,Staten Island,Single-Family Home,"Jun 6, 2018","630,000","1,804 sqft",10312
93 Renee Pl,1975,Staten Island,Unknown,"Jun 6, 2018","370,000","1,600 sqft",10314
25 Parkview Loop,1980,Staten Island,Condo,"Jun 6, 2018","485,000","1,480 sqft",10314
29 Dorothy St,1965,Staten Island,Single-Family Home,"Jun 6, 2018","610,000","1,440 sqft",10314
870 Richmond Rd,1940,Staten Island,Single-Family Home,"Jun 6, 2018","560,000",960 sqft,10304
590 Delafield Ave,ie,Staten Island,ie,"Jun 6, 2018","850,238",Lot/Land,10310
69 Innis St,1935,Staten Island,Multi-Family,"Jun 6, 2018","330,000","1,425 sqft",10302
495 Annadale Rd,1965,Staten Island,Single-Family Home,ie,"430,939
 ","1,236 sqft",10312
568 Yetman Ave,1992,Staten Island,Multi-Family,"Jun 6, 2018","805,000","1,824 sqft",10307
46 Farrell Ct,1995,Staten Island,Single-Family Home,"Jun 6, 2018","590,000","1,050 sqft",10306
350 Windham Loop,1978,Staten Island,Condo,"Jun 6, 2018","415,000","1,436 sqft",10314
353 Sleight Ave,1920,Staten Island,Single-Family Home,"Jun 6, 2018","1,150,000","2,301 sqft",10307
393 Hawthorne Ave,1980,Staten Island,Condo,"Jun 6, 2018","420,000","1,938 sqft",10314
16 Leyden Ave,1985,Staten Island,Unknown,"Jun 6, 2018","280,000","1,408 sqft",10303
155 Labau Ave #159,2012,Staten Island,Single-Family Home,"Jun 6, 2018","580,000","1,224 sqft",10301
28 Belvedere Ct,ie,Staten Island,ie,"Jun 6, 2018","997,885",Lot/Land,10307
183 Sandalwood Dr,1986,Staten Island,Single-Family Home,"Jun 6, 2018","465,000","1,350 sqft",10308
155 Goodwin Ave,1950,Staten Island,Single-Family Home,"Jun 4, 2018","665,000","1,344 sqft",10314
152 Covington Cir,1999,Staten Island,Single-Family Home,"Jun 4, 2018","877,000","2,600 sqft",10312
455 Midland Ave,1930,Staten Island,Single-Family Home,"Jun 5, 2018","495,000","1,980 sqft",10306
22 Openview Ln,ie,Staten Island,ie,"Jun 5, 2018","550,000",Lot/Land,10302
923 Sheldon Ave,1975,Staten Island,Multi-Family,"Jun 5, 2018","750,000","2,200 sqft",10309
542 Buchanan Ave #B,1992,Staten Island,Condo,"Jun 5, 2018","335,000",902 sqft,10314
147 Locust Ave,1960,Staten Island,Single-Family Home,"Jun 5, 2018","564,000","1,568 sqft",10306
30 Openview Ln,ie,Staten Island,ie,"Jun 5, 2018","539,672",Lot/Land,10302
29 Stanley Ave,ie,Staten Island,ie,"Jun 5, 2018","695,995",Lot/Land,10301
130 Annadale Rd,1975,Staten Island,Unknown,"Jun 5, 2018","453,000","1,332 sqft",10312
383 Brookfield Ave,1975,Staten Island,Multi-Family,"Jun 5, 2018","625,000","1,880 sqft",10308
209 Montreal Ave,1955,Staten Island,Single-Family Home,"Jun 5, 2018","500,000","1,200 sqft",10306
40 Drumgoole Rd E,1970,Staten Island,Single-Family Home,"Jun 5, 2018","545,000","1,680 sqft",10312
284 Sandalwood Dr,1985,Staten Island,Single-Family Home,ie,"260,374
 ","1,592 sqft",10308
71 Coventry Loop,1988,Staten Island,Single-Family Home,"Jun 5, 2018","400,000","1,584 sqft",10312
11 Windham Loop #3DD,1979,Staten Island,Condo,"Jun 5, 2018","267,000",824 sqft,10314
118 Suffolk Ave,1996,Staten Island,Single-Family Home,"Jun 5, 2018","595,000","1,731 sqft",10314
545 Tennyson Dr,1975,Staten Island,Single-Family Home,"Jun 5, 2018","820,000","1,410 sqft",10312
520 Lisk Ave #A,1985,Staten Island,Condo,"Jun 5, 2018","310,000","1,172 sqft",10303
4 Amaron Ln,1988,Staten Island,Single-Family Home,"Jun 5, 2018","900,000","4,800 sqft",10307
227 Robinson Ave,1955,Staten Island,Single-Family Home,"Jun 5, 2018","440,000",888 sqft,10312
93 Taft Ave,1905,Staten Island,Multi-Family,"Jun 5, 2018","285,000","1,540 sqft",10301
277 Green Valley Rd,1980,Staten Island,Single-Family Home,ie,"529,201
 ","1,914 sqft",10312
62 Blythe Pl,1986,Staten Island,Single-Family Home,"Jun 5, 2018","580,000","1,484 sqft",10306
121 Cortelyou Ave #12,1972,Staten Island,Condo,"Jun 5, 2018","212,500",729 sqft,10312
4358 Richmond Ave #4360,1995,Staten Island,Single-Family Home,"Jun 5, 2018","500,000","1,320 sqft",10312
1676 Castleton Ave,1910,Staten Island,Multi-Family,"Jun 5, 2018","427,500","1,896 sqft",10302
122 Evergreen St,1980,Staten Island,Multi-Family,"Jun 5, 2018","650,000","2,406 sqft",10308
75 Signs Rd,1965,Staten Island,Multi-Family,"Jun 1, 2018","1,200","2,254 sqft",10314
72 Mills Ave,1925,Staten Island,Multi-Family,"Jun 1, 2018","610,000","2,226 sqft",10305
211 Pembrook Loop,1992,Staten Island,Single-Family Home,"Jun 1, 2018","436,000","1,672 sqft",10309
129 Alex Cir,2003,Staten Island,Single-Family Home,"Jun 1, 2018","560,000","1,659 sqft",10305
103 Chandler Ave,1955,Staten Island,ie,ie,"       $569,000
      
     ",ie,10314
64 Gervil St,1985,Staten Island,Condo,"Jun 1, 2018","354,000",978 sqft,10309
41 Stafford Ave,1984,Staten Island,Multi-Family,"Jun 4, 2018","710,000","2,784 sqft",10312
8 Woodside Ave,1955,Staten Island,Single-Family Home,"Jun 4, 2018","505,000","2,080 sqft",10304
15 Wolkoff Ln #A,1983,Staten Island,Condo,"Jun 4, 2018","308,000","1,011 sqft",10303
11 W Cedarview Ave,1965,Staten Island,Multi-Family,ie,"658,712
 ","2,184 sqft",10306
31 Marvin Rd,1980,Staten Island,Multi-Family,"Jun 4, 2018","799,900","2,448 sqft",10309
756 Correll Ave,1997,Staten Island,Single-Family Home,"Jun 4, 2018","579,500","1,700 sqft",10309
